,country,date,confirmed,death,recovered,last_confirmed,last_death,last_recovered
2919,Colombia,4/12/20,2776,109,270,2709,100,214
2920,Colombia,4/13/20,2852,112,319,2776,109,270
2921,Colombia,4/14/20,2979,127,354,2852,112,319
2922,Colombia,4/15/20,3105,131,452,2979,127,354
2923,Colombia,4/16/20,3233,144,550,3105,131,452
2924,Congo (Brazzaville),1/22/20,0,0,0,0,0,0
2925,Congo (Brazzaville),1/23/20,0,0,0,0,0,0
2926,Congo (Brazzaville),1/24/20,0,0,0,0,0,0
2927,Congo (Brazzaville),1/25/20,0,0,0,0,0,0
2928,Congo (Brazzaville),1/26/20,0,0,0,0,0,0
2929,Congo (Brazzaville),1/27/20,0,0,0,0,0,0
2930,Congo (Brazzaville),1/28/20,0,0,0,0,0,0
2931,Congo (Brazzaville),1/29/20,0,0,0,0,0,0
2932,Congo (Brazzaville),1/30/20,0,0,0,0,0,0
2933,Congo (Brazzaville),1/31/20,0,0,0,0,0,0
2934,Congo (Brazzaville),2/1/20,0,0,0,0,0,0
2935,Congo (Brazzaville),2/2/20,0,0,0,0,0,0
2936,Congo (Brazzaville),2/3/20,0,0,0,0,0,0
2937,Congo (Brazzaville),2/4/20,0,0,0,0,0,0
2938,Congo (Brazzaville),2/5/20,0,0,0,0,0,0
2939,Congo (Brazzaville),2/6/20,0,0,0,0,0,0
2940,Congo (Brazzaville),2/7/20,0,0,0,0,0,0
2941,Congo (Brazzaville),2/8/20,0,0,0,0,0,0
2942,Congo (Brazzaville),2/9/20,0,0,0,0,0,0
2943,Congo (Brazzaville),2/10/20,0,0,0,0,0,0
2944,Congo (Brazzaville),2/11/20,0,0,0,0,0,0
2945,Congo (Brazzaville),2/12/20,0,0,0,0,0,0
2946,Congo (Brazzaville),2/13/20,0,0,0,0,0,0
2947,Congo (Brazzaville),2/14/20,0,0,0,0,0,0
2948,Congo (Brazzaville),2/15/20,0,0,0,0,0,0
2949,Congo (Brazzaville),2/16/20,0,0,0,0,0,0
